FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_OpenMP   ,         , RAJA_OpenMP     ,        
Basic_ATOMIC_PI           , 0.0011          ,         , 3.6             ,OVER_TOL , -0.16           ,         , 0.76            ,OVER_TOL
Basic_DAXPY               , -0.028          ,         , -0.027          ,         , 0.11            ,OVER_TOL , 0.67            ,OVER_TOL
Basic_IF_QUAD             , -0.03           ,         , -0.0041         ,         , 0.018           ,         , -0.094          ,        
Basic_INIT3               , -0.024          ,         , -0.21           ,         , 0.043           ,         , 0.34            ,OVER_TOL
Basic_INIT_VIEW1D         , 0.013           ,         , 0.24            ,OVER_TOL , 0.014           ,         , 1.2             ,OVER_TOL
Basic_INIT_VIEW1D_OFFSET  , -0.023          ,         , 0.22            ,OVER_TOL , -0.055          ,         , 1.3             ,OVER_TOL
Basic_MULADDSUB           , -0.038          ,         , -0.16           ,         , 0.044           ,         , 0.38            ,OVER_TOL
Basic_NESTED_INIT         , -0.017          ,         , -0.013          ,         , -0.1            ,         , 1.9             ,OVER_TOL
Basic_REDUCE3_INT         , -0.014          ,         , 4.1             ,OVER_TOL , 0.1             ,OVER_TOL , 15              ,OVER_TOL
Basic_TRAP_INT            , 0.041           ,         , 0.044           ,         , -0.018          ,         , 4.4             ,OVER_TOL
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.038          ,         , -0.21           ,         , -0.16           ,         , -0.094          ,        
Col Max                   , 0.041           ,         , 4.1             ,         , 0.11            ,         , 15              ,        
Col Avg                   , -0.012          ,         , 0.78            ,         , -0.00045        ,         , 2.6             ,        
Col Std Dev               , 0.00052         ,         , 2.4             ,         , 0.0064          ,         , 20              ,        
