Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_OpenMP , Lambda_OpenMP , RAJA_OpenMP , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       ,    1.000 ,      1.143 ,    1.145 ,      16.555 ,        17.635 ,      13.193 ,       Not run ,        Not run
Apps_ENERGY               ,    1.000 ,      1.011 ,    0.933 ,      20.021 ,        20.947 ,      19.689 ,       Not run ,        Not run
Apps_FIR                  ,    1.000 ,      1.379 ,    1.385 ,      19.485 ,        21.083 ,      15.735 ,       Not run ,        Not run
Apps_HALOEXCHANGE         ,    1.000 ,      1.003 ,    0.990 ,       0.056 ,         0.069 ,       0.045 ,       Not run ,        Not run
Apps_LTIMES               ,    1.000 ,      1.317 ,    0.206 ,      14.953 ,        24.895 ,       4.566 ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        ,    1.000 ,      1.319 ,    0.961 ,      23.613 ,        23.111 ,       2.759 ,       Not run ,        Not run
Apps_PRESSURE             ,    1.000 ,      1.189 ,    1.182 ,      28.431 ,        28.581 ,      16.897 ,       Not run ,        Not run
Apps_VOL3D                ,    1.000 ,      1.022 ,    1.038 ,      24.040 ,        23.849 ,      20.603 ,       Not run ,        Not run
Basic_DAXPY               ,    1.000 ,      1.025 ,    1.026 ,       6.709 ,        10.779 ,       6.197 ,         8.549 ,        Not run
Basic_IF_QUAD             ,    1.000 ,      1.012 ,    1.028 ,      25.861 ,        29.414 ,      25.324 ,        26.780 ,        Not run
Basic_INIT3               ,    1.000 ,      1.024 ,    1.214 ,      23.407 ,        23.452 ,      15.914 ,        21.585 ,        Not run
Basic_INIT_VIEW1D         ,    1.000 ,      1.009 ,    1.009 ,       3.359 ,         3.630 ,       1.611 ,         3.158 ,        Not run
Basic_INIT_VIEW1D_OFFSET  ,    1.000 ,      1.009 ,    0.775 ,       3.898 ,         6.771 ,       2.381 ,         5.999 ,        Not run
Basic_MULADDSUB           ,    1.000 ,      1.107 ,    1.271 ,      23.506 ,        23.400 ,      17.234 ,        19.964 ,        Not run
Basic_NESTED_INIT         ,    1.000 ,      1.019 ,    0.978 ,       6.621 ,         6.645 ,       2.217 ,         5.466 ,        Not run
Basic_PI_ATOMIC           ,    1.000 ,      1.000 ,    0.236 ,       0.005 ,         0.005 ,       0.002 ,         0.006 ,        Not run
Basic_REDUCE3_INT         ,    1.000 ,      1.005 ,    0.123 ,       1.901 ,         1.906 ,       0.462 ,         1.636 ,        Not run
Basic_TRAP_INT            ,    1.000 ,      1.003 ,    0.947 ,      10.315 ,        10.278 ,       6.753 ,        14.301 ,        Not run
Lcals_DIFF_PREDICT        ,    1.000 ,      1.005 ,    1.100 ,      26.059 ,        24.829 ,      18.886 ,        23.536 ,        Not run
Lcals_EOS                 ,    1.000 ,      1.064 ,    1.062 ,      20.624 ,        20.669 ,       9.429 ,        10.440 ,        Not run
Lcals_FIRST_DIFF          ,    1.000 ,      1.007 ,    1.008 ,      11.746 ,        11.747 ,       6.488 ,        10.541 ,        Not run
Lcals_FIRST_MIN           ,    1.000 ,      0.978 ,    0.252 ,       3.065 ,         3.338 ,       1.937 ,         5.095 ,        Not run
Lcals_FIRST_SUM           ,    1.000 ,      1.004 ,    1.004 ,      11.449 ,        11.887 ,       6.501 ,        10.734 ,        Not run
Lcals_GEN_LIN_RECUR       ,    1.000 ,      1.018 ,    1.008 ,       7.098 ,         7.774 ,       4.405 ,         7.196 ,        Not run
Lcals_HYDRO_1D            ,    1.000 ,      0.991 ,    0.993 ,      17.807 ,        17.269 ,       9.600 ,        16.573 ,        Not run
Lcals_HYDRO_2D            ,    1.000 ,      1.018 ,    0.936 ,      22.334 ,        22.035 ,      14.799 ,        12.896 ,        Not run
Lcals_INT_PREDICT         ,    1.000 ,      1.000 ,    0.961 ,      21.726 ,        21.938 ,      14.423 ,        19.614 ,        Not run
Lcals_PLANCKIAN           ,    1.000 ,      1.218 ,    1.216 ,      25.227 ,        23.782 ,      21.278 ,        24.245 ,        Not run
Lcals_TRIDIAG_ELIM        ,    1.000 ,      1.006 ,    1.009 ,      21.926 ,        21.814 ,      12.371 ,        19.273 ,        Not run
Stream_ADD                ,    1.000 ,      1.003 ,    1.010 ,      18.356 ,        18.151 ,      10.383 ,        16.976 ,        Not run
Stream_COPY               ,    1.000 ,      1.005 ,    1.002 ,      11.315 ,        12.757 ,       7.013 ,        10.601 ,        Not run
Stream_DOT                ,    1.000 ,      1.006 ,    0.452 ,       6.486 ,         6.401 ,       3.142 ,        10.368 ,        Not run
Stream_MUL                ,    1.000 ,      1.008 ,    1.008 ,      12.414 ,        60.439 ,      31.536 ,        39.707 ,        Not run
Stream_TRIAD              ,    1.000 ,      1.004 ,    1.015 ,      90.620 ,        89.938 ,      39.454 ,        33.917 ,        Not run
