Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_OpenMP , Lambda_OpenMP , RAJA_OpenMP , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       , 1.002663 ,   0.959610 , 0.959060 ,    0.082349 ,      0.076843 ,    0.134218 ,       Not run ,        Not run
Apps_ENERGY               , 1.472292 ,   1.379822 , 1.356201 ,    0.108779 ,      0.113671 ,    0.108022 ,       Not run ,        Not run
Apps_FIR                  , 0.753825 ,   0.710485 , 0.628652 ,    0.101834 ,      0.099298 ,    0.171439 ,       Not run ,        Not run
Apps_HALOEXCHANGE         , 0.037527 ,   0.037574 , 0.037572 ,    0.324396 ,      0.327421 ,    0.643041 ,       Not run ,        Not run
Apps_LTIMES               , 0.305121 ,   0.233835 , 1.727016 ,    0.012441 ,      0.012534 ,    0.067616 ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        , 0.307036 ,   0.234237 , 0.319842 ,    0.012606 ,      0.010678 ,    0.091463 ,       Not run ,        Not run
Apps_PRESSURE             , 1.381240 ,   1.375567 , 1.376161 ,    0.356485 ,      0.356852 ,    0.395504 ,       Not run ,        Not run
Apps_VOL3D                , 1.281810 ,   1.240205 , 1.225323 ,    0.061562 ,      0.061202 ,    0.075436 ,       Not run ,        Not run
Basic_ATOMIC_PI           , 0.024286 ,   0.024250 , 0.107577 ,    5.046275 ,      4.728019 ,   16.986572 ,      8.034127 ,        Not run
Basic_DAXPY               , 0.286269 ,   0.274571 , 0.274665 ,    0.239913 ,      0.239022 ,    0.466115 ,      0.248201 ,        Not run
Basic_IF_QUAD             , 1.443229 ,   1.404949 , 1.401740 ,    0.110406 ,      0.111660 ,    0.184800 ,      0.119781 ,        Not run
Basic_INIT3               , 0.987879 ,   0.978414 , 0.814107 ,    0.236987 ,      0.235432 ,    0.441401 ,      0.262228 ,        Not run
Basic_INIT_VIEW1D         , 0.866175 ,   0.859602 , 1.123383 ,    0.248800 ,      0.247944 ,    0.484680 ,      0.281034 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 0.883608 ,   0.859620 , 1.200529 ,    0.246849 ,      0.246075 ,    0.501679 ,      0.274211 ,        Not run
Basic_MULADDSUB           , 0.747213 ,   0.683159 , 0.593767 ,    0.168689 ,      0.165312 ,    0.319229 ,      0.190032 ,        Not run
Basic_NESTED_INIT         , 0.849430 ,   0.838391 , 0.929081 ,    0.078014 ,      0.070037 ,    0.118888 ,      0.036469 ,        Not run
Basic_REDUCE3_INT         , 0.016738 ,   0.016683 , 0.127887 ,    0.009376 ,      0.009421 ,    0.027712 ,      0.010599 ,        Not run
Basic_TRAP_INT            , 0.384138 ,   0.396232 , 0.392978 ,    0.198550 ,      0.199135 ,    0.313532 ,      0.122903 ,        Not run
Lcals_DIFF_PREDICT        , 1.196236 ,   1.171988 , 0.730397 ,    0.126656 ,      0.125389 ,    0.235686 ,      0.131346 ,        Not run
Lcals_EOS                 , 0.661562 ,   0.657199 , 0.657276 ,    0.246687 ,      0.244558 ,    0.470511 ,      0.282543 ,        Not run
Lcals_FIRST_DIFF          , 0.940468 ,   0.933664 , 0.933906 ,    0.754977 ,      0.753291 ,    1.479885 ,      0.857707 ,        Not run
Lcals_FIRST_MIN           , 0.037986 ,   0.037717 , 0.149555 ,    0.010730 ,      0.011489 ,    0.018594 ,      0.007416 ,        Not run
Lcals_FIRST_SUM           , 0.946844 ,   0.939342 , 0.939618 ,    0.772282 ,      0.751989 ,    1.472621 ,      0.864386 ,        Not run
Lcals_GEN_LIN_RECUR       , 1.443996 ,   1.414191 , 1.415596 ,    0.608407 ,      0.589421 ,    1.095358 ,      0.674370 ,        Not run
Lcals_HYDRO_1D            , 1.253463 ,   1.231629 , 1.232037 ,    0.597462 ,      0.595275 ,    1.158817 ,      0.670088 ,        Not run
Lcals_HYDRO_2D            , 2.442566 ,   2.375152 , 3.755449 ,    0.109587 ,      0.109012 ,    0.238421 ,      0.192538 ,        Not run
Lcals_INT_PREDICT         , 1.417251 ,   1.398701 , 1.446942 ,    0.205377 ,      0.203713 ,    0.365001 ,      0.239267 ,        Not run
Lcals_PLANCKIAN           , 0.409467 ,   0.323197 , 0.322943 ,    0.032876 ,      0.032689 ,    0.052097 ,      0.037282 ,        Not run
Lcals_TRIDIAG_ELIM        , 1.318646 ,   1.314860 , 1.314626 ,    0.248836 ,      0.248122 ,    0.472105 ,      0.276887 ,        Not run
Stream_ADD                , 1.137360 ,   1.003015 , 0.995155 ,    0.057953 ,      0.058105 ,    0.102798 ,      0.063130 ,        Not run
Stream_COPY               , 1.144171 ,   1.137939 , 1.143257 ,    0.100842 ,      0.095171 ,    0.165174 ,      0.110292 ,        Not run
Stream_DOT                , 1.273396 ,   1.268043 , 2.875457 ,    0.199310 ,      0.196840 ,    0.402956 ,      0.126572 ,        Not run
Stream_MUL                , 1.192031 ,   1.185386 , 1.185334 ,    0.097510 ,      0.096848 ,    0.178330 ,      0.107642 ,        Not run
Stream_TRIAD              , 1.010346 ,   1.001085 , 1.006489 ,    0.057315 ,      0.057031 ,    0.110288 ,      0.084111 ,        Not run
