FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,         , RAJA_WORKGROUP_HIP,        
Apps_DEL_DOT_VEC_2D       , 0.0071          ,         , 0.00089         ,         , -0.14           ,         , -0.13           ,         , 0               ,        
Apps_ENERGY               , 0.1             ,OVER_TOL , 0.11            ,OVER_TOL , 0               ,         , 0.015           ,         , 0               ,        
Apps_FIR                  , -0.071          ,         , -0.067          ,         , 0               ,         , 0.094           ,         , 0               ,        
Apps_HALOEXCHANGE         , 0.081           ,         , -0.024          ,         , 0               ,         , -0.045          ,         , 0               ,        
Apps_LTIMES               , -0.0006         ,         , 0.0015          ,         , -0.069          ,         , 0.071           ,         , 0               ,        
Apps_LTIMES_NOVIEW        , 0.0032          ,         , 0.0026          ,         , -0.058          ,         , 0.084           ,         , 0               ,        
Apps_PRESSURE             , 0.00025         ,         , -0.003          ,         , 0               ,         , 0.082           ,         , 0               ,        
Apps_VOL3D                , 0.0015          ,         , 0.0081          ,         , 0               ,         , -0.064          ,         , 0               ,        
Basic_ATOMIC_PI           , -0.0008         ,         , 1.2             ,OVER_TOL , 0.0049          ,         , -0.0037         ,         , 0               ,        
Basic_DAXPY               , 0.0028          ,         , 0.0017          ,         , -0.0043         ,         , 0.14            ,OVER_TOL , 0               ,        
Basic_IF_QUAD             , -0.0029         ,         , -0.13           ,         , -0.2            ,         , -0.19           ,         , 0               ,        
Basic_INIT3               , 0.0017          ,         , -0.43           ,         , -0.14           ,         , -0.02           ,         , 0               ,        
Basic_INIT_VIEW1D         , 0.33            ,OVER_TOL , 0.25            ,OVER_TOL , -0.14           ,         , -0.011          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 0.00039         ,         , -0.06           ,         , -0.037          ,         , 0.16            ,OVER_TOL , 0               ,        
Basic_MULADDSUB           , 0.0002          ,         , -0.51           ,         , -0.18           ,         , -0.03           ,         , 0               ,        
Basic_NESTED_INIT         , -0.0024         ,         , -0.0097         ,         , -0.018          ,         , -0.014          ,         , 0               ,        
Basic_REDUCE3_INT         , 0.0032          ,         , -0.068          ,         , 0               ,         , 0.17            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , 0.001           ,         , 0.0042          ,         , 0               ,         , -0.89           ,         , 0               ,        
Lcals_DIFF_PREDICT        , -0.053          ,         , -0.44           ,         , 0               ,         , -0.032          ,         , 0               ,        
Lcals_EOS                 , 0.0052          ,         , 0.00074         ,         , 0               ,         , -0.02           ,         , 0               ,        
Lcals_FIRST_DIFF          , 0.0021          ,         , -0.00049        ,         , 0               ,         , 0.0026          ,         , 0               ,        
Lcals_FIRST_MIN           , -0.014          ,         , -0.00013        ,         , 0               ,         , 0.26            ,OVER_TOL , 0               ,        
Lcals_FIRST_SUM           , -0.0026         ,         , -0.0015         ,         , 0               ,         , 0.00026         ,         , 0               ,        
Lcals_GEN_LIN_RECUR       , 0.0023          ,         , 0.0017          ,         , 0               ,         , -0.011          ,         , 0               ,        
Lcals_HYDRO_1D            , -0.0028         ,         , 0.0031          ,         , 0               ,         , 0.00037         ,         , 0               ,        
Lcals_HYDRO_2D            , -0.0022         ,         , 0.0032          ,         , 0               ,         , 0.021           ,         , 0               ,        
Lcals_INT_PREDICT         , 0.0033          ,         , -0.46           ,         , 0               ,         , -0.14           ,         , 0               ,        
Lcals_PLANCKIAN           , 0.0027          ,         , -0.01           ,         , 0               ,         , -0.085          ,         , 0               ,        
Lcals_TRIDIAG_ELIM        , -0.0089         ,         , 0.0009          ,         , 0               ,         , -0.012          ,         , 0               ,        
Stream_ADD                , -0.0017         ,         , -0.0019         ,         , -0.014          ,         , 0.0023          ,         , 0               ,        
Stream_COPY               , 0.0011          ,         , 0.00014         ,         , -0.071          ,         , -0.01           ,         , 0               ,        
Stream_DOT                , 0.0015          ,         , -0.014          ,         , 0               ,         , -0.98           ,         , 0               ,        
Stream_MUL                , 3e-05           ,         , -0.00091        ,         , -0.046          ,         , -0.00097        ,         , 0               ,        
Stream_TRIAD              , -0.0012         ,         , -0.00034        ,         , -0.097          ,         , -0.031          ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.071          ,         , -0.51           ,         , -0.2            ,         , -0.98           ,         , 1.8e+308        ,        
Col Max                   , 0.33            ,         , 1.2             ,         , 0.0049          ,         , 0.26            ,         , -1.8e+308       ,        
Col Avg                   , 0.012           ,         , -0.019          ,         , -0.08           ,         , -0.048          ,         , 0               ,        
Col Std Dev               , 0.0039          ,         , 0.07            ,         , 0.004           ,         , 0.057           ,         , 0               ,        
