FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Apps_DEL_DOT_VEC_2D       , 0.014           ,         , 0.01            ,         , -0.16           ,         , 3.3             ,OVER_TOL
Apps_ENERGY               , 0.072           ,         , 0.073           ,         , 0               ,         , -0.026          ,        
Apps_FIR                  , -0.037          ,         , -0.038          ,         , 0               ,         , -0.0013         ,        
Apps_HALOEXCHANGE         , -0.0008         ,         , 0.0052          ,         , 0               ,         , 0.3             ,OVER_TOL
Apps_LTIMES               , -0.0002         ,         , 0.0021          ,         , -0.098          ,         , 0.033           ,        
Apps_LTIMES_NOVIEW        , 0.0044          ,         , 0.0015          ,         , -0.067          ,         , 0.075           ,        
Apps_PRESSURE             , 0.0034          ,         , -0.0011         ,         , 0               ,         , 0.016           ,        
Apps_VOL3D                , 0.0024          ,         , 0.01            ,         , 0               ,         , -0.17           ,        
Basic_DAXPY               , 0.011           ,         , 0.0028          ,         , 0.008           ,         , 0.096           ,        
Basic_IF_QUAD             , -0.0055         ,         , -0.0052         ,         , -0.081          ,         , -0.14           ,        
Basic_INIT3               , -0.011          ,         , -0.009          ,         , -0.054          ,         , -0.054          ,        
Basic_INIT_VIEW1D         , -0.0075         ,         , -0.069          ,         , -0.16           ,         , 0.18            ,OVER_TOL
Basic_INIT_VIEW1D_OFFSET  , -0.00012        ,         , -0.061          ,         , -0.047          ,         , 0.37            ,OVER_TOL
Basic_MULADDSUB           , -0.0079         ,         , 0.0073          ,         , -0.14           ,         , -0.044          ,        
Basic_NESTED_INIT         , -0.00021        ,         , 0.0063          ,         , -0.04           ,         , -0.02           ,        
Basic_PI_ATOMIC           , -0.0016         ,         , 1.2             ,OVER_TOL , -0.093          ,         , -0.046          ,        
Basic_REDUCE3_INT         , -0.0015         ,         , -0.081          ,         , 0               ,         , -0.18           ,        
Basic_TRAP_INT            , 0.0015          ,         , 0.0047          ,         , 0               ,         , -0.96           ,        
Lcals_DIFF_PREDICT        , 0.0048          ,         , -0.0064         ,         , 0               ,         , -0.042          ,        
Lcals_EOS                 , -0.0068         ,         , -0.013          ,         , 0               ,         , -0.0041         ,        
Lcals_FIRST_DIFF          , -0.003          ,         , -0.002          ,         , 0               ,         , 0.021           ,        
Lcals_FIRST_MIN           , -0.01           ,         , 0.008           ,         , 0               ,         , 0.24            ,OVER_TOL
Lcals_FIRST_SUM           , -0.0022         ,         , -0.0023         ,         , 0               ,         , -0.013          ,        
Lcals_GEN_LIN_RECUR       , 0.0025          ,         , -0.0015         ,         , 0               ,         , -0.052          ,        
Lcals_HYDRO_1D            , 0.00084         ,         , 0.00036         ,         , 0               ,         , 0.2             ,OVER_TOL
Lcals_HYDRO_2D            , 0.0015          ,         , -0.0033         ,         , 0               ,         , -0.007          ,        
Lcals_INT_PREDICT         , -0.0014         ,         , 0.071           ,         , 0               ,         , -0.059          ,        
Lcals_PLANCKIAN           , 0.00099         ,         , -0.0092         ,         , 0               ,         , -0.18           ,        
Lcals_TRIDIAG_ELIM        , -0.0015         ,         , -0.002          ,         , 0               ,         , -0.0066         ,        
Stream_ADD                , -0.0018         ,         , 0.00022         ,         , -0.04           ,         , 0.069           ,        
Stream_COPY               , -0.00029        ,         , -0.0058         ,         , -0.11           ,         , 0.0025          ,        
Stream_DOT                , 0.0034          ,         , 0.0069          ,         , 0               ,         , -0.97           ,        
Stream_MUL                , 0.0069          ,         , -0.00073        ,         , -0.073          ,         , 0.021           ,        
Stream_TRIAD              , -0.0016         ,         , -0.0014         ,         , -0.059          ,         , 0.039           ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.037          ,         , -0.081          ,         , -0.16           ,         , -0.97           ,        
Col Max                   , 0.072           ,         , 1.2             ,         , 0.008           ,         , 3.3             ,        
Col Avg                   , 0.00078         ,         , 0.033           ,         , -0.081          ,         , 0.058           ,        
Col Std Dev               , 0.00022         ,         , 0.043           ,         , 0.0021          ,         , 0.38            ,        
