Kernels                    ,    Problem size ,    Reps ,    Iterations/rep , Kernels/rep ,    Bytes/rep ,    FLOPS/rep
Apps_DEL_DOT_VEC_2D        ,         1000000 ,     100 ,           1000000 ,           1 ,     48064032 ,     54000000
Apps_ENERGY                ,         1000000 ,     130 ,           6000000 ,           6 ,    216000000 ,     55000000
Apps_FIR                   ,         1000000 ,     160 ,            999984 ,           1 ,     15999872 ,     31999488
Apps_HALOEXCHANGE          ,         1000000 ,      50 ,            183624 ,         156 ,      7344960 ,            0
Apps_LTIMES                ,          999424 ,      50 ,            999424 ,           1 ,     14254592 ,     49971200
Apps_LTIMES_NOVIEW         ,          999424 ,      50 ,            999424 ,           1 ,     14254592 ,     49971200
Apps_PRESSURE              ,         1000000 ,     700 ,           2000000 ,           2 ,     40000000 ,      3000000
Apps_VOL3D                 ,         1103022 ,     100 ,           1103022 ,           1 ,     35558808 ,     79417584
Basic_DAXPY                ,         1000000 ,     500 ,           1000000 ,           1 ,     24000000 ,      2000000
Basic_IF_QUAD              ,         1000000 ,     180 ,           1000000 ,           1 ,     40000000 ,     11000000
Basic_INIT3                ,         1000000 ,     500 ,           1000000 ,           1 ,     40000000 ,      1000000
Basic_INIT_VIEW1D          ,         1000000 ,    2500 ,           1000000 ,           1 ,      8000000 ,      1000000
Basic_INIT_VIEW1D_OFFSET   ,         1000000 ,    2500 ,           1000000 ,           1 ,      8000000 ,      1000000
Basic_MULADDSUB            ,         1000000 ,     350 ,           1000000 ,           1 ,     40000000 ,      3000000
Basic_NESTED_INIT          ,         1000000 ,    1000 ,           1000000 ,           1 ,      8000000 ,      3000000
Basic_PI_ATOMIC            ,         1000000 ,      50 ,           1000000 ,           1 ,           16 ,      6000001
Basic_REDUCE3_INT          ,         1000000 ,      50 ,           1000000 ,           1 ,      4000024 ,      1000001
Basic_TRAP_INT             ,         1000000 ,      50 ,           1000000 ,           1 ,           16 ,     10000000
Lcals_DIFF_PREDICT         ,         1000000 ,     200 ,           1000000 ,           1 ,    160000000 ,      9000000
Lcals_EOS                  ,         1000000 ,     500 ,           1000000 ,           1 ,     32000056 ,     16000000
Lcals_FIRST_DIFF           ,         1000000 ,    2000 ,           1000000 ,           1 ,     16000008 ,      1000000
Lcals_FIRST_MIN            ,         1000000 ,     100 ,           1000000 ,           1 ,      8000032 ,            0
Lcals_FIRST_SUM            ,         1000000 ,    2000 ,           1000000 ,           1 ,     15999992 ,       999999
Lcals_GEN_LIN_RECUR        ,         1000000 ,     500 ,           1000000 ,           2 ,     80000000 ,      6000000
Lcals_HYDRO_1D             ,         1000000 ,    1000 ,           1000000 ,           1 ,     24000008 ,      5000000
Lcals_HYDRO_2D             ,         1000000 ,     100 ,           3000000 ,           3 ,    143680320 ,     43824176
Lcals_INT_PREDICT          ,         1000000 ,     400 ,           1000000 ,           1 ,     88000000 ,     17000000
Lcals_PLANCKIAN            ,         1000000 ,      50 ,           1000000 ,           1 ,     40000000 ,      4000000
Lcals_TRIDIAG_ELIM         ,         1000000 ,    1000 ,           1000000 ,           1 ,     31999968 ,      1999998
Stream_ADD                 ,         1000000 ,    1000 ,           1000000 ,           1 ,     24000000 ,      1000000
Stream_COPY                ,         1000000 ,    1800 ,           1000000 ,           1 ,     16000000 ,            0
Stream_DOT                 ,         1000000 ,    2000 ,           1000000 ,           1 ,     16000016 ,      2000000
Stream_MUL                 ,         1000000 ,    1800 ,           1000000 ,           1 ,     16000000 ,      1000000
Stream_TRIAD               ,         1000000 ,    1000 ,           1000000 ,           1 ,     24000000 ,      2000000
