Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_HIP , Lambda_HIP , RAJA_HIP , RAJA_WORKGROUP_HIP , Kokkos_Lambda , Kokkos_Functor
Basic_ATOMIC_PI           ,    1.000 ,      3.750 ,    1.250 ,    0.197 ,      0.192 ,    0.195 ,            Not run ,         0.268 ,        Not run
Basic_DAXPY               ,    1.000 ,      1.200 ,    0.400 ,    0.158 ,      0.167 ,    0.167 ,            Not run ,         0.109 ,        Not run
Basic_IF_QUAD             ,    1.000 ,      1.400 ,    0.538 ,    0.149 ,      0.194 ,    0.206 ,            Not run ,         0.025 ,        Not run
Basic_INIT3               ,    1.000 ,      1.750 ,    0.538 ,    0.156 ,      0.206 ,    0.200 ,            Not run ,         0.127 ,        Not run
Basic_INIT_VIEW1D         ,    1.000 ,      1.400 ,    0.538 ,    0.159 ,      0.194 ,    0.206 ,            Not run ,         0.125 ,        Not run
Basic_INIT_VIEW1D_OFFSET  ,    1.000 ,      1.400 ,    0.538 ,    0.156 ,      0.200 ,    0.200 ,            Not run ,         0.125 ,        Not run
Basic_MULADDSUB           ,    1.000 ,      1.200 ,    0.462 ,    0.133 ,      0.162 ,    0.171 ,            Not run ,         0.019 ,        Not run
Basic_NESTED_INIT         ,    1.000 ,      1.333 ,    0.571 ,    0.174 ,      0.229 ,    0.229 ,            Not run ,         0.143 ,        Not run
Basic_REDUCE3_INT         ,    1.000 ,     42.600 ,   14.200 ,    2.393 ,    Not run ,    4.347 ,            Not run ,         4.260 ,        Not run
Basic_TRAP_INT            ,    1.000 ,      3.200 ,    1.143 ,    0.162 ,    Not run ,    0.444 ,            Not run ,         0.242 ,        Not run
