Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_HIP , Lambda_HIP , RAJA_HIP , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       , 0.801403 ,   0.815238 , 0.812459 , 0.007669 ,   0.006224 , 0.031878 ,       Not run ,        Not run
Apps_ENERGY               , 1.113818 ,   1.193214 , 1.198104 , 0.043580 ,    Not run , 0.042837 ,       Not run ,        Not run
Apps_FIR                  , 0.951241 ,   0.946639 , 0.940305 , 0.008885 ,    Not run , 0.008861 ,       Not run ,        Not run
Apps_HALOEXCHANGE         , 0.021984 ,   0.014620 , 0.014140 , 0.042020 ,    Not run , 0.040613 ,       Not run ,        Not run
Apps_LTIMES               , 0.870961 ,   0.871463 , 0.873075 , 0.016934 ,   0.015293 , 0.017529 ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        , 0.871821 ,   0.873958 , 0.873426 , 0.016312 ,   0.015273 , 0.017596 ,       Not run ,        Not run
Apps_PRESSURE             , 1.336429 ,   1.342096 , 1.341047 , 0.055921 ,    Not run , 0.053905 ,       Not run ,        Not run
Apps_VOL3D                , 1.157289 ,   1.158983 , 1.173368 , 0.009230 ,    Not run , 0.007750 ,       Not run ,        Not run
Basic_DAXPY               , 0.194868 ,   0.195028 , 0.195410 , 0.017045 ,   0.017682 , 0.017896 ,      0.037622 ,        Not run
Basic_IF_QUAD             , 1.707414 ,   1.712371 , 1.713666 , 0.013412 ,   0.012707 , 0.012995 ,      0.020853 ,        Not run
Basic_INIT3               , 0.763533 ,   0.765814 , 0.767943 , 0.032883 ,   0.030646 , 0.031428 ,      0.050717 ,        Not run
Basic_INIT_VIEW1D         , 1.126718 ,   1.127163 , 1.411103 , 0.039152 ,   0.032683 , 0.037789 ,      0.140258 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 1.501258 ,   1.500438 , 1.413808 , 0.033868 ,   0.032609 , 0.037810 ,      0.140421 ,        Not run
Basic_MULADDSUB           , 0.528924 ,   0.522592 , 0.534649 , 0.025622 ,   0.022217 , 0.024092 ,      0.037286 ,        Not run
Basic_NESTED_INIT         , 0.604198 ,   0.603459 , 0.606882 , 0.016077 ,   0.015704 , 0.016049 ,      0.080303 ,        Not run
Basic_PI_ATOMIC           , 0.074892 ,   0.074861 , 0.164647 , 674.933599 , 682.919005 , 822.197520 ,   1117.501644 ,        Not run
Basic_REDUCE3_INT         , 0.012568 ,   0.012553 , 0.011613 , 0.012826 ,    Not run , 0.011407 ,      0.007906 ,        Not run
Basic_TRAP_INT            , 0.205911 ,   0.205866 , 0.205841 , 0.095657 ,    Not run , 0.003819 ,      0.006981 ,        Not run
Lcals_DIFF_PREDICT        , 0.756891 ,   0.755018 , 0.752182 , 0.040109 ,    Not run , 0.038143 ,      0.065846 ,        Not run
Lcals_EOS                 , 0.663537 ,   0.669829 , 0.663522 , 0.024103 ,    Not run , 0.023120 ,      0.042519 ,        Not run
Lcals_FIRST_DIFF          , 0.737133 ,   0.738488 , 0.739624 , 0.051982 ,    Not run , 0.046832 ,      0.119446 ,        Not run
Lcals_FIRST_MIN           , 0.049259 ,   0.048142 , 0.048568 , 0.009854 ,    Not run , 0.011923 ,      0.015514 ,        Not run
Lcals_FIRST_SUM           , 0.764567 ,   0.763246 , 0.763773 , 0.051414 ,    Not run , 0.049248 ,      0.132028 ,        Not run
Lcals_GEN_LIN_RECUR       , 0.835938 ,   0.838900 , 0.837945 , 0.059738 ,    Not run , 0.055082 ,      0.096630 ,        Not run
Lcals_HYDRO_1D            , 0.816472 ,   0.815456 , 0.816679 , 0.033781 ,    Not run , 0.032717 ,      0.078853 ,        Not run
Lcals_HYDRO_2D            , 0.811594 ,   0.811010 , 0.812288 , 0.021149 ,    Not run , 0.021010 ,      0.040263 ,        Not run
Lcals_INT_PREDICT         , 1.213929 ,   1.215807 , 1.302740 , 0.049097 ,    Not run , 0.046771 ,      0.077296 ,        Not run
Lcals_PLANCKIAN           , 0.760473 ,   0.761781 , 0.747113 , 0.004048 ,    Not run , 0.003044 ,      0.006625 ,        Not run
Lcals_TRIDIAG_ELIM        , 1.115983 ,   1.116583 , 1.109532 , 0.049990 ,    Not run , 0.048880 ,      0.086623 ,        Not run
Stream_ADD                , 0.784930 ,   0.784024 , 0.784264 , 0.034126 ,   0.032482 , 0.033737 ,      0.081094 ,        Not run
Stream_COPY               , 0.615070 ,   0.613657 , 0.614233 , 0.045902 ,   0.040799 , 0.044980 ,      0.119427 ,        Not run
Stream_DOT                , 1.841066 ,   1.838010 , 1.834463 , 3.740130 ,    Not run , 0.103091 ,      0.240763 ,        Not run
Stream_MUL                , 0.896937 ,   0.886164 , 0.887093 , 0.043396 ,   0.042750 , 0.045739 ,      0.122170 ,        Not run
Stream_TRIAD              , 1.270456 ,   1.269025 , 1.269809 , 0.036982 ,   0.033552 , 0.032548 ,      0.081649 ,        Not run
