FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , RAJA_CUDA       ,        
Basic_ATOMIC_PI           , 4.8e-06         ,         , 1.5             ,OVER_TOL , -0.00063        ,        
Basic_DAXPY               , 0.00065         ,         , 0.0014          ,         , -0.023          ,        
Basic_IF_QUAD             , 0.018           ,         , 0.022           ,         , 0.063           ,        
Basic_INIT3               , -0.0024         ,         , -0.0018         ,         , 0.00092         ,        
Basic_INIT_VIEW1D         , 9.4e-06         ,         , 0.00011         ,         , 0.0012          ,        
Basic_INIT_VIEW1D_OFFSET  , 5.1e-06         ,         , 0.14            ,OVER_TOL , -0.068          ,        
Basic_MULADDSUB           , -0.0001         ,         , 0.00026         ,         , 0.022           ,        
Basic_NESTED_INIT         , 0.0025          ,         , -1.8e-05        ,         , 0.0023          ,        
Basic_REDUCE3_INT         , -3.9e-05        ,         , -1.2e-05        ,         , 0.16            ,OVER_TOL
Basic_TRAP_INT            , -4.9e-05        ,         , -4.6e-06        ,         , -0.37           ,        
                          ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0024         ,         , -0.0018         ,         , -0.37           ,        
Col Max                   , 0.018           ,         , 1.5             ,         , 0.16            ,        
Col Avg                   , 0.0019          ,         , 0.17            ,         , -0.021          ,        
Col Std Dev               , 3.2e-05         ,         , 0.2             ,         , 0.017           ,        
