FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , RAJA_CUDA       ,        
Basic_ATOMIC_PI           , 0.00051         ,         , 1.5             ,OVER_TOL , -0.00021        ,        
Basic_DAXPY               , 0.00092         ,         , 0.0016          ,         , -0.023          ,        
Basic_IF_QUAD             , 0.018           ,         , 0.022           ,         , 0.077           ,        
Basic_INIT3               , -2.8e-05        ,         , 0.00031         ,         , -0.00094        ,        
Basic_INIT_VIEW1D         , 4.2e-05         ,         , 0.00056         ,         , 0.0019          ,        
Basic_INIT_VIEW1D_OFFSET  , -2e-05          ,         , 0.14            ,OVER_TOL , -0.059          ,        
Basic_MULADDSUB           , 7.3e-06         ,         , 0.0002          ,         , 0.012           ,        
Basic_NESTED_INIT         , -8.2e-05        ,         , -0.00012        ,         , 0.0011          ,        
Basic_REDUCE3_INT         , -4.3e-05        ,         , 0.00081         ,         , 0.17            ,OVER_TOL
Basic_TRAP_INT            , -8.2e-05        ,         , 0.00073         ,         , -0.37           ,        
                          ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -8.2e-05        ,         , -0.00012        ,         , -0.37           ,        
Col Max                   , 0.018           ,         , 1.5             ,         , 0.17            ,        
Col Avg                   , 0.002           ,         , 0.17            ,         , -0.02           ,        
Col Std Dev               , 3e-05           ,         , 0.2             ,         , 0.017           ,        
