FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.18           ,         , 1.8             ,OVER_TOL , -0.034          ,         , -0.068          ,         , 0               ,        
Basic_DAXPY               , -0.71           ,         , -0.068          ,         , -0.022          ,         , -0.025          ,         , 0               ,        
Basic_IF_QUAD             , -0.72           ,         , -0.37           ,         , 0.17            ,OVER_TOL , 0.019           ,         , 0               ,        
Basic_INIT3               , -0.73           ,         , 0.24            ,OVER_TOL , -0.012          ,         , 0.009           ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.67           ,         , 0.44            ,OVER_TOL , 0.034           ,         , 0.037           ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.7            ,         , -0.13           ,         , -0.051          ,         , -0.056          ,         , 0               ,        
Basic_MULADDSUB           , -0.76           ,         , -0.75           ,         , -0.039          ,         , 0.00039         ,         , 0               ,        
Basic_NESTED_INIT         , -0.8            ,         , -0.82           ,         , 0.19            ,OVER_TOL , 0.052           ,         , 0               ,        
Basic_REDUCE3_INT         , -0.65           ,         , -0.74           ,         , 0               ,         , 0.017           ,         , 0               ,        
Basic_TRAP_INT            , -0.2            ,         , 0.13            ,OVER_TOL , 0               ,         , 0.03            ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.8            ,         , -0.82           ,         , -0.051          ,         , -0.068          ,         , 1.8e+308        ,        
Col Max                   , -0.18           ,         , 1.8             ,         , 0.19            ,         , 0.052           ,         , -1.8e+308       ,        
Col Avg                   , -0.61           ,         , -0.03           ,         , 0.029           ,         , 0.0015          ,         , 0               ,        
Col Std Dev               , 0.046           ,         , 0.53            ,         , 0.008           ,         , 0.0014          ,         , 0               ,        
