FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Apps_DEL_DOT_VEC_2D       , -0.00011        ,         , -0.0061         ,         , 0.0061          ,         , -0.0032         ,        
Apps_ENERGY               , -0.002          ,         , -0.00037        ,         , 0               ,         , -0.0017         ,        
Apps_FIR                  , 0.00063         ,         , -0.078          ,         , 0               ,         , 0.056           ,        
Apps_HALOEXCHANGE         , -0.0079         ,         , 0.24            ,OVER_TOL , 0               ,         , -0.01           ,        
Apps_LTIMES               , 0.002           ,         , 0.062           ,         , 0.29            ,OVER_TOL , 0.32            ,OVER_TOL
Apps_LTIMES_NOVIEW        , 0.00083         ,         , 0.062           ,         , 0.29            ,OVER_TOL , 0.31            ,OVER_TOL
Apps_PRESSURE             , 0.00028         ,         , 0.0014          ,         , 0               ,         , 0.0062          ,        
Apps_VOL3D                , 0.00018         ,         , 0.0081          ,         , 0               ,         , -0.19           ,        
Basic_DAXPY               , 0.031           ,         , 0.039           ,         , -0.00013        ,         , 0.0018          ,        
Basic_IF_QUAD             , -0.0031         ,         , 0.0034          ,         , 0.16            ,OVER_TOL , 0.16            ,OVER_TOL
Basic_INIT3               , 0.00081         ,         , 0.00014         ,         , 6.2e-05         ,         , -0.0018         ,        
Basic_INIT_VIEW1D         , -3.6e-05        ,         , 6.6e-05         ,         , -0.00077        ,         , 0.0041          ,        
Basic_INIT_VIEW1D_OFFSET  , -0.00052        ,         , 1.1             ,OVER_TOL , 0.0034          ,         , 0.0086          ,        
Basic_MULADDSUB           , -0.0014         ,         , -0.0013         ,         , 0.19            ,OVER_TOL , 0.18            ,OVER_TOL
Basic_NESTED_INIT         , 0.057           ,         , 0.0086          ,         , 0.0047          ,         , 0.0038          ,        
Basic_PI_ATOMIC           , -0.00017        ,         , 1.5             ,OVER_TOL , -0.0091         ,         , -0.077          ,        
Basic_REDUCE3_INT         , 0.00012         ,         , 8.8             ,OVER_TOL , 0               ,         , 0.74            ,OVER_TOL
Basic_TRAP_INT            , 2.1e-05         ,         , -7.3e-05        ,         , 0               ,         , -0.37           ,        
Lcals_DIFF_PREDICT        , 2.4e-05         ,         , -0.12           ,         , 0               ,         , 0.0051          ,        
Lcals_EOS                 , 0.00087         ,         , 0.00067         ,         , 0               ,         , 0.001           ,        
Lcals_FIRST_DIFF          , 0.014           ,         , 0.017           ,         , 0               ,         , 0.00064         ,        
Lcals_FIRST_MIN           , 0.008           ,         , 0.24            ,OVER_TOL , 0               ,         , -0.46           ,        
Lcals_FIRST_SUM           , 0.0092          ,         , 0.0094          ,         , 0               ,         , 0.05            ,        
Lcals_GEN_LIN_RECUR       , -4.6e-05        ,         , 2e-05           ,         , 0               ,         , -0.1            ,        
Lcals_HYDRO_1D            , 0.00099         ,         , 0.0012          ,         , 0               ,         , 0.00039         ,        
Lcals_HYDRO_2D            , -0.00029        ,         , 0.0077          ,         , 0               ,         , 0.09            ,        
Lcals_INT_PREDICT         , -0.00098        ,         , -0.00073        ,         , 0               ,         , -0.0036         ,        
Lcals_PLANCKIAN           , 4.9e-05         ,         , 3.7e-05         ,         , 0               ,         , -0.011          ,        
Lcals_TRIDIAG_ELIM        , 0.036           ,         , 0.026           ,         , 0               ,         , 0.0055          ,        
Stream_ADD                , 0.00023         ,         , 0.001           ,         , 0.00029         ,         , 0.0011          ,        
Stream_COPY               , 0.00088         ,         , -0.31           ,         , -0.00026        ,         , 0.00023         ,        
Stream_DOT                , -0.00022        ,         , 0.0073          ,         , 0               ,         , -0.22           ,        
Stream_MUL                , 0.0087          ,         , 0.01            ,         , 0.0023          ,         , 0.0028          ,        
Stream_TRIAD              , 0.00012         ,         , 0.0007          ,         , 0.00025         ,         , 0.00036         ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0079         ,         , -0.31           ,         , -0.0091         ,         , -0.46           ,        
Col Max                   , 0.057           ,         , 8.8             ,         , 0.29            ,         , 0.74            ,        
Col Avg                   , 0.0045          ,         , 0.34            ,         , 0.062           ,         , 0.015           ,        
Col Std Dev               , 0.00015         ,         , 2.3             ,         , 0.011           ,         , 0.037           ,        
