Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_CUDA , Lambda_CUDA , RAJA_CUDA , RAJA_WORKGROUP_CUDA , Kokkos_Lambda , Kokkos_Functor
Basic_ATOMIC_PI           ,    1.000 ,      1.001 ,    0.397 ,     0.194 ,       0.194 ,     0.189 ,             Not run ,         0.037 ,        Not run
Basic_DAXPY               ,    1.000 ,      0.999 ,    1.003 ,    11.737 ,      11.743 ,    11.668 ,             Not run ,         7.206 ,        Not run
Basic_IF_QUAD             ,    1.000 ,      0.994 ,    0.991 ,   175.738 ,     163.446 ,   164.336 ,             Not run ,       110.321 ,        Not run
Basic_INIT3               ,    1.000 ,      1.000 ,    0.999 ,    16.616 ,      16.628 ,    16.656 ,             Not run ,         8.450 ,        Not run
Basic_INIT_VIEW1D         ,    1.000 ,      1.000 ,    1.000 ,    61.800 ,      61.773 ,    61.805 ,             Not run ,        25.252 ,        Not run
Basic_INIT_VIEW1D_OFFSET  ,    1.000 ,      1.000 ,    0.476 ,    60.181 ,      60.140 ,    60.029 ,             Not run ,        24.474 ,        Not run
Basic_MULADDSUB           ,    1.000 ,      1.000 ,    0.999 ,    24.117 ,      22.308 ,    22.793 ,             Not run ,        11.742 ,        Not run
Basic_NESTED_INIT         ,    1.000 ,      0.999 ,    0.997 ,   103.355 ,     103.316 ,   103.359 ,             Not run ,        33.189 ,        Not run
Basic_REDUCE3_INT         ,    1.000 ,      1.000 ,    0.104 ,     4.010 ,     Not run ,     3.432 ,             Not run ,        11.482 ,        Not run
Basic_TRAP_INT            ,    1.000 ,      1.000 ,    0.999 ,    19.292 ,     Not run ,    32.316 ,             Not run ,        23.371 ,        Not run
Stream_ADD                ,    1.000 ,      1.002 ,    1.001 ,    21.771 ,      21.741 ,    21.746 ,             Not run ,        21.461 ,        Not run
Stream_COPY               ,    1.000 ,      0.992 ,    1.243 ,    29.134 ,      29.129 ,    29.160 ,             Not run ,        25.667 ,        Not run
Stream_DOT                ,    1.000 ,      1.000 ,    0.999 ,    32.967 ,     Not run ,    40.403 ,             Not run ,        33.199 ,        Not run
Stream_MUL                ,    1.000 ,      0.975 ,    0.972 ,    23.315 ,      23.281 ,    23.287 ,             Not run ,        20.559 ,        Not run
Stream_TRIAD              ,    1.000 ,      0.999 ,    0.999 ,    20.119 ,      20.101 ,    20.145 ,             Not run ,        19.911 ,        Not run
