Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_CUDA , RAJA_CUDA , Kokkos_Lambda , Kokkos_Functor
Basic_ATOMIC_PI           , 0.071666 ,   0.071689 , 0.180529 ,  0.366496 ,  0.365847 ,      1.847762 ,        Not run
Basic_DAXPY               , 0.260831 ,   0.261043 , 0.261189 ,  0.023862 ,  0.023313 ,      0.034453 ,        Not run
Basic_IF_QUAD             , 1.853569 ,   1.888526 , 1.892550 ,  0.011649 ,  0.012529 ,      0.016560 ,        Not run
Basic_INIT3               , 0.399181 ,   0.399232 , 0.400103 ,  0.025860 ,  0.025845 ,      0.045645 ,        Not run
Basic_INIT_VIEW1D         , 1.850066 ,   1.850186 , 1.851015 ,  0.032371 ,  0.032398 ,      0.080495 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 1.719294 ,   1.719237 , 1.969132 ,  0.032216 ,  0.030841 ,      0.073045 ,        Not run
Basic_MULADDSUB           , 0.389662 ,   0.389643 , 0.389736 ,  0.016662 ,  0.017205 ,      0.032131 ,        Not run
Basic_NESTED_INIT         , 1.186857 ,   1.186874 , 1.186939 ,  0.011516 ,  0.011525 ,      0.035780 ,        Not run
Basic_REDUCE3_INT         , 0.038029 ,   0.038034 , 0.038026 ,  0.009254 ,  0.011387 ,      0.003217 ,        Not run
Basic_TRAP_INT            , 1.086837 ,   1.086868 , 1.086787 ,  0.054866 ,  0.033492 ,      0.044594 ,        Not run
