Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_CUDA , Lambda_CUDA , RAJA_CUDA , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       , 1.281339 ,   1.281109 , 1.279523 ,  0.006901 ,    0.006881 ,  0.006848 ,       Not run ,        Not run
Apps_ENERGY               , 1.347737 ,   1.348291 , 1.347395 ,  0.037643 ,     Not run ,  0.037769 ,       Not run ,        Not run
Apps_FIR                  , 1.539148 ,   1.539403 , 1.416548 ,  0.004197 ,     Not run ,  0.004380 ,       Not run ,        Not run
Apps_HALOEXCHANGE         , 0.027639 ,   0.040105 , 0.038391 ,  0.040860 ,     Not run ,  0.040209 ,       Not run ,        Not run
Apps_LTIMES               , 1.710265 ,   1.711895 , 1.815405 ,  0.015480 ,    0.019876 ,  0.020322 ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        , 1.710868 ,   1.710636 , 1.816186 ,  0.015475 ,    0.019871 ,  0.020285 ,       Not run ,        Not run
Apps_PRESSURE             , 1.577019 ,   1.577513 , 1.579249 ,  0.046900 ,     Not run ,  0.047118 ,       Not run ,        Not run
Apps_VOL3D                , 1.635301 ,   1.635673 , 1.648413 ,  0.006591 ,     Not run ,  0.005247 ,       Not run ,        Not run
Basic_DAXPY               , 0.281838 ,   0.296007 , 0.300028 ,  0.016361 ,    0.016358 ,  0.016380 ,      0.041039 ,        Not run
Basic_IF_QUAD             , 1.885119 ,   1.875663 , 1.892184 ,  0.011801 ,    0.013854 ,  0.013850 ,      0.022050 ,        Not run
Basic_INIT3               , 0.575866 ,   0.575878 , 0.575975 ,  0.027325 ,    0.027311 ,  0.027287 ,      0.053159 ,        Not run
Basic_INIT_VIEW1D         , 1.850539 ,   1.850542 , 1.850639 ,  0.030461 ,    0.030433 ,  0.030588 ,      0.185600 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 1.719706 ,   1.719662 , 3.612690 ,  0.030414 ,    0.030537 ,  0.030331 ,      0.181656 ,        Not run
Basic_MULADDSUB           , 0.423118 ,   0.421946 , 0.422038 ,  0.019104 ,    0.022569 ,  0.022700 ,      0.037277 ,        Not run
Basic_NESTED_INIT         , 0.969109 ,   1.022572 , 0.976114 ,  0.017321 ,    0.017366 ,  0.017389 ,      0.076059 ,        Not run
Basic_PI_ATOMIC           , 0.119443 ,   0.119439 , 0.300871 ,  0.105186 ,    0.105165 ,  0.105216 ,      0.124114 ,        Not run
Basic_REDUCE3_INT         , 0.019005 ,   0.019010 , 0.186198 ,  0.005023 ,     Not run ,  0.008460 ,      0.003787 ,        Not run
Basic_TRAP_INT            , 0.271732 ,   0.271704 , 0.271707 ,  0.002361 ,     Not run ,  0.001528 ,      0.003606 ,        Not run
Lcals_DIFF_PREDICT        , 0.810538 ,   0.809973 , 0.710709 ,  0.051599 ,     Not run ,  0.051847 ,      0.077705 ,        Not run
Lcals_EOS                 , 0.983499 ,   0.984699 , 0.984613 ,  0.021902 ,     Not run ,  0.021881 ,      0.047196 ,        Not run
Lcals_FIRST_DIFF          , 1.091736 ,   1.126142 , 1.133639 ,  0.046356 ,     Not run ,  0.046350 ,      0.148377 ,        Not run
Lcals_FIRST_MIN           , 0.077763 ,   0.075818 , 0.095778 ,  0.006282 ,     Not run ,  0.003536 ,      0.009557 ,        Not run
Lcals_FIRST_SUM           , 1.099609 ,   1.126434 , 1.133521 ,  0.046325 ,     Not run ,  0.048681 ,      0.148555 ,        Not run
Lcals_GEN_LIN_RECUR       , 1.260574 ,   1.260730 , 1.260738 ,  0.051897 ,     Not run ,  0.046525 ,      0.097947 ,        Not run
Lcals_HYDRO_1D            , 0.863987 ,   0.864815 , 0.864739 ,  0.032575 ,     Not run ,  0.032568 ,      0.081713 ,        Not run
Lcals_HYDRO_2D            , 1.409281 ,   1.409129 , 1.419885 ,  0.022364 ,     Not run ,  0.024390 ,      0.038691 ,        Not run
Lcals_INT_PREDICT         , 1.187957 ,   1.185136 , 1.185428 ,  0.045086 ,     Not run ,  0.045044 ,      0.064340 ,        Not run
Lcals_PLANCKIAN           , 1.334929 ,   1.334903 , 1.334943 ,  0.002667 ,     Not run ,  0.002653 ,      0.005266 ,        Not run
Lcals_TRIDIAG_ELIM        , 0.955958 ,   0.955620 , 0.956003 ,  0.043338 ,     Not run ,  0.043658 ,      0.093760 ,        Not run
Stream_ADD                , 0.660841 ,   0.663438 , 0.666110 ,  0.032456 ,    0.032467 ,  0.032526 ,      0.082096 ,        Not run
Stream_COPY               , 1.201488 ,   1.204077 , 0.802440 ,  0.041397 ,    0.041415 ,  0.041428 ,      0.133862 ,        Not run
Stream_DOT                , 3.293232 ,   3.293395 , 3.302476 ,  0.108147 ,     Not run ,  0.081256 ,      0.181559 ,        Not run
Stream_MUL                , 0.950451 ,   0.971062 , 0.974277 ,  0.041397 ,    0.041448 ,  0.041508 ,      0.133446 ,        Not run
Stream_TRIAD              , 0.660651 ,   0.660321 , 0.660886 ,  0.032478 ,    0.032445 ,  0.032478 ,      0.081991 ,        Not run
